CODCOMP_STR,POBLACION
0109029008,95.0
0109029009,117.0
0109029010,113.0
0109029011,120.0
0109029012,207.0
0109029013,171.0
0109030001,18.0
0109030002,0.0
0109030003,12.0
0109030004,150.0
0109030005,105.0
0109030800,236.0
0109030801,78.0
0109030802,52.0
0109030803,234.0
0109031003,152.0
0109031004,147.0
0109031005,134.0
0109031006,0.0
0109031007,77.0
0109031800,114.0
0109031801,63.0
0109031802,165.0
0109031803,188.0
0109032001,338.0
0109032002,293.0
0109032003,91.0
0109032004,128.0
0109032005,79.0
0109032006,108.0
0109032007,57.0
0109032008,93.0
0109032009,0.0
0109032010,97.0
0109032011,87.0
0109032012,113.0
0109033001,291.0
0109033002,139.0
0109033003,145.0
0109033004,0.0
0109033005,102.0
0109033006,87.0
0109033007,17.0
0109033008,49.0
0109033009,54.0
0109033010,15.0
0109033011,0.0
0109033012,69.0
0109033013,24.0
0109033014,58.0
0109033015,80.0
0109033016,76.0
0109033017,74.0
0109033600,182.0
0109033601,83.0
0109033602,16.0
0109033603,210.0
0109033800,54.0
0109033801,60.0
0109033802,269.0
0109033803,22.0
0109033901,0.0
0109034002,0.0
0109034003,121.0
0109034007,67.0
0109034008,72.0
0109034009,7.0
0109034010,53.0
0109034011,43.0
0109034014,194.0
0109034016,74.0
0109034402,0.0
0109034403,0.0
0109034404,0.0
0109034405,0.0
0109034406,0.0
0109034407,0.0
0109034600,83.0
0109034601,70.0
0109034602,89.0
0109034603,0.0
0109034604,60.0
0109034605,23.0
0109034606,13.0
0109034607,30.0
0109034800,123.0
0109034801,17.0
0109034802,51.0
0109034803,44.0
0109034804,0.0
0109034901,0.0
0109034902,0.0
0109035001,568.0
0109035002,252.0
0109035003,297.0
0109035004,0.0
0109035005,71.0
0109035006,0.0
0109035008,66.0
0109035010,1.0
0109035011,66.0
0109035012,452.0
0109035015,122.0
0109035017,0.0
0109035019,152.0
0109035400,0.0
0109035401,0.0
0109035402,0.0
0109035403,0.0
0109035501,0.0
0109035601,100.0
0109035602,0.0
0109035603,165.0
0109035604,51.0
0109035605,116.0
0109035606,106.0
0109035607,0.0
0109036001,276.0
0109036002,280.0
0109036003,228.0
0109036004,852.0
0109036005,472.0
0109036007,236.0
0109036008,316.0
0109036009,300.0
0109036010,576.0
0109036012,380.0
0109036013,388.0
0109036016,56.0
0109036017,200.0
0109036018,404.0
0109036019,102.0
0109036020,42.0
0109036400,0.0
0109036401,0.0
0109036402,0.0
0109036600,272.0
0109036601,0.0
0109036602,4.0
0109037001,408.0
0109037002,236.0
0109037003,200.0
0109037004,480.0
0109037005,436.0
0109037006,364.0
0109037007,144.0
0109037008,356.0
0109037009,135.0
0109037010,284.0
0109037011,156.0
0109037012,148.0
0109037013,116.0
0109037014,44.0
0109037600,62.0
0109037601,15.0
0109038001,0.0
0109038002,356.0
0109038003,320.0
0109038004,172.0
0109038005,70.0
0109038007,105.0
0109039003,20.0
0109039004,16.0
0109039005,0.0
0109039800,55.0
0109040001,24.0
0109040002,0.0
0109040003,51.0
0109040004,25.0
0109040005,47.0
0109040006,0.0
0109040007,0.0
0109041001,155.0
0109041002,135.0
0109041003,54.0
0109041004,23.0
0109041005,54.0
0109042001,0.0
0109042002,63.0
0109042003,57.0
0109042004,132.0
0109043001,0.0
0109043003,2.0
0109043004,74.0
0109043800,77.0
0109044006,17.0
