NOMBRE,DIRECCION,x,y,POBLACION
FARMAHORRO EL TUNEL  ,Avda Agraciada 4061 Bis,571559.969323787,6142316.90894532,25278.0
FARMAIS,Ruta 5 Km. 28.500,571513.411340083,6163750.85504371,5840.0
FARMASHOP 1,Cno. Ariel 4626,572116.324043758,6144871.61933554,19750.0
FARMASHOP 10,Av. Gral San Martin 3083,574760.033173962,6141086.70705169,37555.0
FARMASHOP 100,19 de abril 508,381511.588198296,6237594.26681432,12976.0
FARMASHOP 101,19 de Abril 946,544193.354523257,6306948.01936735,15587.0
FARMASHOP 102,18 de Julio 372,408538.806915762,6526519.98035852,17603.0
FARMASHOP 103,Jose Pedro Varela 596,423000.646969406,6186194.96434108,9388.0
FARMASHOP 104,Av. Luis A. de Herrera 4111,574357.803709456,6142054.2731012,30511.0
FARMASHOP 105,25 de Mayo 582,662158.446662224,6194676.81883537,17070.0
FARMASHOP 106,Jose Pedro Ramirez 200,744880.969471504,6180959.11743289,12136.0
FARMASHOP 107,Treinta y Tres 368 esq. Tolentino Gonzalez,565945.738670325,6179641.02042032,15435.0
FARMASHOP 108,Colonia 1800,575108.01887416,6137557.63675852,64024.0
FARMASHOP 109,San Jose 1052,573688.247868178,6136959.76236157,45829.0
FARMASHOP 11,Av. Luis A. De Herrera 2368,577676.565646994,6139374.86623114,38707.0
FARMASHOP 110,Felix de Lizarza 678,662373.677376584,6150263.887278,5589.0
FARMASHOP 111,Jose Ellauri 411,576803.320660947,6135214.95144012,35012.0
FARMASHOP 112 GO-BA,Av. Grito de Asencio 1751,387094.236619296,6289026.06028702,13138.0
FARMASHOP 113,Lezica 6394,568704.261545763,6149401.17924796,10738.0
FARMASHOP 114,Lezica 6326,568867.457413559,6149219.90627959,12157.0
FARMASHOP 115,Veracierto 2563,580656.068885482,6140887.85025933,29673.0
FARMASHOP 116,Av. Luis A. de Herrera  Esq. G. Tell,478559.553912862,6205856.98174169,7201.0
FARMASHOP 117,Avda. Jose Belloni 4371,578563.830434165,6146171.67532916,26356.0
FARMASHOP 118,Uruguay Esq. Rio Negro,598791.03363493,6148459.54262181,8488.0
FARMASHOP 119,Carlos Maria Ramirez 1851,568117.004039174,6140598.69599465,24057.0
FARMASHOP 12,Juan Benito Blanco 1098,577925.426100426,6136385.3426149,58384.0
FARMASHOP 120,Florida 784,686528.824617001,6135234.88340869,19503.0
FARMASHOP 121,"Av. Pedragosa Sierra Esq. Roosevelt, Torre Place Lafayette Local 8",688071.676811561,6132379.88689276,2383.0
FARMASHOP 122,"Av. Leandro Gomez, Jardines del Mar y Sol Local 03",683422.958293462,6136193.77811467,2291.0
FARMASHOP 123,Ruta 39 y Av. Luis Alberto de Herrera - Centro Comercial Paseo del Este Local 17,577076.125346315,6140203.73492901,34747.0
FARMASHOP 124,Ruta Interbalnearia Km.118 Estacion Ancap Solanas,677957.448112486,6138689.1180804,408.0
FARMASHOP 125,Av. Jose Batlle y Ordoñez s/n esquina Ruta N 21,423555.024596506,6186910.05018268,7387.0
FARMASHOP 126,Pablo Rios 149,597409.415124502,6489444.67711726,12326.0
FARMASHOP 127,Wilson Ferreira Aldunate Esq. Jose Enrique Rodo,534776.130617204,6167071.21055491,8670.0
FARMASHOP 129,Av. Del Libertador 1953,573902.814866381,6137888.7628959,37779.0
FARMASHOP 13,Dr. Jose Scosería 2614,577119.421472442,6136023.19630341,66225.0
FARMASHOP 130,18 de Julio 850,573247.377880473,6137031.41690953,34521.0
FARMASHOP 131,Av. Luis A. De Herrera 701,526851.204047624,6199758.49554951,15841.0
FARMASHOP 132,Aparicio Saravia 4644,573023.070791469,6145911.46155205,17542.0
FARMASHOP 133,Av. 18 de Julio 1644,574851.398971173,6137306.14564352,65414.0
FARMASHOP 136,Jose Enrique Rodo 718,404076.286035029,6320464.24514295,19843.0
FARMASHOP 137,Av. Luis A. de Herrera 2888,577041.357432251,6140317.64250214,34287.0
FARMASHOP 14,Av. Enrique Legrand 5085,582355.249172426,6138831.97417225,22878.0
FARMASHOP 15,21 de Setiembre 2867,577158.98719627,6135614.39039556,50793.0
FARMASHOP 16,Av. Alfredo Arocena 1657,586045.058452654,6139054.4168458,8901.0
FARMASHOP 17,Av. Roosevelt esq Z. Michelini,687149.035311284,6133474.55757608,4264.0
FARMASHOP 18,Av. Brasil 2851,577418.167049129,6136474.18510855,75054.0
FARMASHOP 19,Almeria 4701/002,581529.268342091,6138306.12852952,23744.0
FARMASHOP 2,Ruta 8  Km. 30.500,594823.761494859,6156832.80031613,9385.0
FARMASHOP 20,Av. Italia 2490,576604.716696443,6138415.84399541,38897.0
FARMASHOP 21,Colonia 903,573366.811501989,6137173.01106243,37627.0
FARMASHOP 22,Luis Franszini 806,576866.307131578,6135928.06472899,60325.0
FARMASHOP 23,Av. Agraciada 4269,571211.384093843,6142667.72771131,27208.0
FARMASHOP 24,21 de Setiembre 2453,576549.118203395,6136238.99677226,57479.0
FARMASHOP 25,Av. Gral Rivera 4241,580215.461459583,6138149.25271816,27331.0
FARMASHOP 26,Bvar. España 2856,577520.514717481,6136083.12346465,64511.0
FARMASHOP 27,Av. Gral E. Garzon 1925,571127.197352297,6148195.22487287,19140.0
FARMASHOP 28,Av. 8 de Octubre 3268,577673.350111877,6139851.74145846,37635.0
FARMASHOP 29,Av. 8 de Octubre 3749,578520.344004406,6140474.84763204,37048.0
FARMASHOP 3,Av. Gral. Rivera 2755,577182.111764929,6137359.05323997,51515.0
FARMASHOP 30,Av. Rivera 609,571795.626743551,6156911.82276502,20813.0
FARMASHOP 31,Av. Artigas 539,571996.137179342,6156950.5862686,19870.0
FARMASHOP 32,Cno. Carrasco 4471,580236.944445776,6140761.62999921,32802.0
FARMASHOP 33,Av. 18 de Julio 1487,574562.237561079,6137214.35572527,63213.0
FARMASHOP 34,Av. 8 de Octubre 4002,578994.419015416,6140786.14012039,34987.0
FARMASHOP 35,Av. Gral. Jose G. Artigas 1068,595198.321309767,6157404.16467547,14905.0
FARMASHOP 36,Av. Gral San Martin 3402,575065.637789803,6141873.90294999,31029.0
FARMASHOP 37,Av. 8 de Octubre 3439,577932.107107187,6140074.74792944,36748.0
FARMASHOP 38,Av. Sarmiento 2445,576701.995739558,6136130.8244673,60014.0
FARMASHOP 39,Av. Brasil 2703,577166.24230769,6136792.74524208,75256.0
FARMASHOP 4,Av. Francisco Piria Es. Bs.As.,658188.282718168,6140543.02194743,4734.0
FARMASHOP 40,Gabriel Pereira 3209,577906.188073181,6136620.34152926,60977.0
FARMASHOP 41,25 de Mayo 293,596353.561703223,6490787.22731476,18497.0
FARMASHOP 42,Av. Ing Luis P. Ponce 1503,576773.641245672,6137707.96890978,50615.0
FARMASHOP 43,Av. 18 de Julio 1331,574240.369919463,6137135.21616336,62218.0
FARMASHOP 44,Av. Gral Flores 3315,575627.699243171,6141333.50879966,32845.0
FARMASHOP 45,Av. Del Parque 77,589471.471636948,6141119.32449584,3415.0
FARMASHOP 46,Presidente Berro 530,509557.854979048,6291213.66690431,14244.0
FARMASHOP 47,Av. Italia 3428,578639.896603365,6139056.90087388,40946.0
FARMASHOP 48,Estanislao Lopez 4856 Local 002,581914.866784832,6138969.93959962,28435.0
FARMASHOP 49,Av. de las Américas 6000,588551.086078901,6140966.48537906,6862.0
FARMASHOP 5,Av. Agraciada 3665,572215.006106139,6141572.05397722,19150.0
FARMASHOP 50,Bvar. España 2167,575906.024577611,6136766.08344876,61113.0
FARMASHOP 51,Orinoco 4993,582448.516793402,6138110.54585846,15673.0
