CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0105103009","01",MONTEVIDEO,MONTEVIDEO,"211","01020"
"0105103010","01",MONTEVIDEO,MONTEVIDEO,"238","01020"
"0105104001","01",MONTEVIDEO,MONTEVIDEO,"207","01020"
"0105104002","01",MONTEVIDEO,MONTEVIDEO,"279","01020"
"0105104007","01",MONTEVIDEO,MONTEVIDEO,"136","01020"
"0105104008","01",MONTEVIDEO,MONTEVIDEO,"238","01020"
"0105104009","01",MONTEVIDEO,MONTEVIDEO,"215","01020"
"0105104010","01",MONTEVIDEO,MONTEVIDEO,"126","01020"
"0105105009","01",MONTEVIDEO,MONTEVIDEO,"86","01020"
"0105105010","01",MONTEVIDEO,MONTEVIDEO,"244","01020"
"0105105011","01",MONTEVIDEO,MONTEVIDEO,"224","01020"
"0105105012","01",MONTEVIDEO,MONTEVIDEO,"257","01020"
"0105105013","01",MONTEVIDEO,MONTEVIDEO,"269","01020"
"0105105014","01",MONTEVIDEO,MONTEVIDEO,"246","01020"
"0105105015","01",MONTEVIDEO,MONTEVIDEO,"229","01020"
"0105105400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105105500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0105106001","01",MONTEVIDEO,MONTEVIDEO,"8","01020"
"0105106002","01",MONTEVIDEO,MONTEVIDEO,"199","01020"
"0105106003","01",MONTEVIDEO,MONTEVIDEO,"197","01020"
"0105106004","01",MONTEVIDEO,MONTEVIDEO,"221","01020"
"0105106005","01",MONTEVIDEO,MONTEVIDEO,"81","01020"
"0105106006","01",MONTEVIDEO,MONTEVIDEO,"264","01020"
"0105201004","01",MONTEVIDEO,MONTEVIDEO,"312","01020"
"0105201005","01",MONTEVIDEO,MONTEVIDEO,"247","01020"
"0105201006","01",MONTEVIDEO,MONTEVIDEO,"206","01020"
"0105201007","01",MONTEVIDEO,MONTEVIDEO,"68","01020"
"0105201012","01",MONTEVIDEO,MONTEVIDEO,"334","01020"
